province,track,score,percentile,rank,reach_tier,severity,code,message,schools_chong,schools_wen,schools_bao,majors
山西,物理类,562,94.52,9658,双一流,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,中北大学 | 山西中医药大学 | 山西大同大学,太原科技大学 | 山西农业大学 | 山西财经大学 | 长治医学院,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 集成电路设计与集成系统
山西,物理类,587,97.02,5256,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,山西大学,山西医科大学 | 山西医药学院,中北大学 | 山西中医药大学 | 山西大同大学,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
山西,物理类,600,97.85,3794,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,太原理工大学,山西医科大学 | 山西大学,山西医药学院,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
山西,物理类,612,98.4,2822,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,太原理工大学,山西医科大学 | 山西医药学院 | 山西大学,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
山西,物理类,619,98.65,2388,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,太原理工大学 | 山西医科大学 | 山西大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
山西,物理类,637,99.09,1600,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
山西,物理类,662,99.43,997,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
山西,物理类,687,99.62,651,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
山西,物理类,697,99.69,541,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
山西,物理类,712,99.78,390,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
山西,物理类,737,99.93,140,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
山西,物理类,750,100.0,10,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
山西,历史类,562,94.39,4453,双一流,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,中北大学 | 山西师范大学,太原科技大学 | 山西中医药大学 | 山西财经大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
山西,历史类,587,96.98,2397,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,太原理工大学 | 山西大学,山西师范大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
山西,历史类,600,97.84,1713,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,太原理工大学,山西大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
山西,历史类,612,98.41,1261,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,太原理工大学 | 山西大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
山西,历史类,619,98.67,1059,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,太原理工大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
山西,历史类,637,99.12,698,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
山西,历史类,662,99.46,423,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
山西,历史类,687,99.66,269,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
山西,历史类,697,99.72,219,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
山西,历史类,712,99.8,156,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
山西,历史类,737,99.94,56,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
山西,历史类,750,100.0,4,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
广东,物理类,578,95.77,16246,双一流,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,广州大学 | 广州美术学院,佛山大学 | 北师香港浸会大学 | 广东外语外贸大学,东莞理工学院 | 广东以色列理工学院 | 广东技术师范大学 | 广东海洋大学 | 广东第二师范学院,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 集成电路设计与集成系统
广东,物理类,587,96.63,12926,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,华南农业大学 | 广东医科大学 | 广东警官学院,北师香港浸会大学 | 广东外语外贸大学 | 广东财经大学,东莞理工学院 | 佛山大学 | 广东以色列理工学院 | 广东海洋大学 | 广东药科大学,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
广东,物理类,600,97.6,9214,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,汕头大学,广东工业大学 | 华南农业大学 | 广东医科大学,北师香港浸会大学 | 广东外语外贸大学 | 广东财经大学 | 广州大学,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
广东,物理类,603,97.78,8516,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,广东工业大学 | 华南农业大学 | 广东医科大学,北师香港浸会大学 | 广东外语外贸大学 | 广东财经大学 | 广州大学 | 广州美术学院,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
广东,物理类,619,98.53,5647,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,深圳大学 | 华南师范大学 | 广州中医药大学,广州医科大学,广东工业大学 | 华南农业大学 | 广东医科大学 | 广东警官学院 | 汕头大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
广东,物理类,628,98.82,4534,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,深圳大学,华南师范大学 | 广州中医药大学 | 广州医科大学,广东工业大学 | 华南农业大学 | 广东医科大学 | 广东警官学院 | 汕头大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
广东,物理类,653,99.31,2632,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,哈尔滨工业大学（深圳） | 香港中文大学（深圳）,南方科技大学 | 中山大学 | 华南理工大学,深圳大学 | 华南师范大学 | 广州中医药大学 | 暨南大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
广东,物理类,678,99.56,1659,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,哈尔滨工业大学（深圳） | 香港中文大学（深圳） | 香港科技大学（广州）,南方科技大学 | 中山大学 | 华南理工大学 | 南方医科大学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
广东,物理类,697,99.69,1162,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,哈尔滨工业大学（深圳） | 香港中文大学（深圳） | 香港科技大学（广州）,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
广东,物理类,703,99.73,1024,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
广东,物理类,728,99.88,483,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
广东,物理类,750,100.0,21,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
广东,历史类,578,95.19,8440,双一流,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,广东警官学院,华南农业大学 | 南方医科大学 | 广东外语外贸大学,广东工业大学 | 北师香港浸会大学 | 广东海洋大学 | 广东金融学院 | 广州美术学院,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
广东,历史类,587,96.19,6692,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,华南师范大学 | 广东警官学院 | 广东财经大学,广东外语外贸大学,广东工业大学 | 北师香港浸会大学 | 华南农业大学 | 南方医科大学 | 广东金融学院,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
广东,历史类,600,97.31,4730,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,华南理工大学 | 暨南大学,深圳大学 | 华南师范大学 | 广东警官学院,广东外语外贸大学 | 广州大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
广东,历史类,603,97.52,4360,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,华南理工大学 | 暨南大学,深圳大学 | 华南师范大学 | 广东警官学院,广东外语外贸大学 | 广州大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
广东,历史类,619,98.38,2842,211,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,中山大学 | 哈尔滨工业大学（深圳） | 广州中医药大学,华南理工大学 | 暨南大学,深圳大学 | 华南师范大学 | 广东警官学院 | 广东财经大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
广东,历史类,628,98.71,2257,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,中山大学 | 香港中文大学（深圳）,哈尔滨工业大学（深圳） | 广州中医药大学,华南理工大学 | 深圳大学 | 广东财经大学 | 暨南大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
广东,历史类,653,99.28,1271,985,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,中山大学 | 哈尔滨工业大学（深圳） | 广州中医药大学 | 香港中文大学（深圳）,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
广东,历史类,678,99.55,787,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
广东,历史类,697,99.69,549,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
广东,历史类,703,99.72,483,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
广东,历史类,728,99.87,230,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
广东,历史类,750,100.0,10,C9,WARN,MODEL_SEGMENT_HIGH,该省该年一分一段为模型估算，位次仅供参考,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发
新疆,物理类,474,91.16,9298,一本,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,新疆科技学院 | 新疆警察学院,昌吉学院,新疆天山职业技术大学 | 新疆艺术学院,护理学 | 口腔医学技术 | 康复治疗学 | 土木工程 | 新能源科学与工程
新疆,物理类,499,94.17,6146,双一流,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,喀什大学,伊犁师范大学 | 塔里木大学 | 新疆农业大学,新疆科技学院 | 昌吉学院,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 集成电路设计与集成系统
新疆,物理类,524,96.31,3894,211,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,新疆第二医学院,新疆师范大学,伊犁师范大学 | 喀什大学 | 塔里木大学 | 新疆政法学院 | 新疆财经大学,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
新疆,物理类,549,97.72,2408,211,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,石河子大学,新疆第二医学院,新疆师范大学,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学 | 临床医学
新疆,物理类,574,98.58,1498,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,新疆医科大学,新疆大学 | 中国石油大学（北京）克拉玛依校区,石河子大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
新疆,物理类,587,98.88,1184,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,中国石油大学（北京）克拉玛依校区 | 新疆医科大学,新疆大学 | 石河子大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
新疆,物理类,599,99.08,964,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,新疆大学 | 中国石油大学（北京）克拉玛依校区 | 新疆医科大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
新疆,物理类,600,99.1,947,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,新疆大学 | 中国石油大学（北京）克拉玛依校区 | 新疆医科大学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
新疆,物理类,619,99.33,705,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
新疆,物理类,624,99.38,654,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术 | 集成电路设计与集成系统
新疆,物理类,649,99.56,462,C9,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
新疆,物理类,674,99.69,325,C9,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
新疆,物理类,697,99.8,216,C9,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
新疆,物理类,699,99.81,208,C9,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
新疆,物理类,724,99.9,108,C9,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
新疆,物理类,749,100.0,8,C9,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
新疆,物理类,750,100.0,4,C9,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程
新疆,历史类,474,91.09,4255,一本,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,塔里木大学 | 新疆理工学院,新疆艺术学院 | 新疆警察学院 | 昌吉学院,新疆天山职业技术大学 | 新疆第二医学院,护理学 | 电子商务 | 康复治疗学 | 市场营销 | 会计学
新疆,历史类,499,94.14,2804,双一流,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,伊犁师范大学 | 喀什大学,塔里木大学 | 新疆农业大学 | 新疆政法学院,新疆理工学院 | 新疆警察学院 | 昌吉学院,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
新疆,历史类,524,96.32,1765,211,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,新疆师范大学,伊犁师范大学 | 喀什大学 | 新疆农业大学 | 新疆政法学院 | 新疆科技学院,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
新疆,历史类,549,97.75,1082,211,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,石河子大学,,新疆师范大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 法学
新疆,历史类,574,98.61,667,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,新疆大学 | 中国石油大学（北京）克拉玛依校区,石河子大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
新疆,历史类,587,98.91,524,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,新疆大学,中国石油大学（北京）克拉玛依校区,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
新疆,历史类,599,99.11,426,985,WARN,MODEL_SEGMENT_GAP,新疆暂无公开一分一段源，高分段为模型估算,,,新疆大学,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发 | 保密管理
