省份,科类,分数,百分位,位次,稳妥层次,分段数据源,有投档索引,冲刺院校,稳妥院校,保底院校,冲刺专业,稳妥专业,保底专业,问题数
上海,综合类,402,0.41,49276,专科,eol.cn+ocr,True,九江学院 | 京中东方 | 南宁师大,三亚学院 | 上外贤达 | 中侨大学,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,427,11.49,43847,专科,eol.cn+ocr,True,上海商院 | 上海视觉 | 东华理工,三峡科技 | 上师天华 | 上海杉达,三亚学院 | 上外贤达 | 中侨大学 | 二外中瑞 | 京中东方,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,452,24.12,37654,专科,eol.cn+ocr,True,新疆大学 | 上工程 | 云南警官,上海电机 | 二工大 | 云南财大,三峡科技 | 上师天华 | 上海商院 | 上海视觉 | 上饶师院,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,477,38.1,30793,专科,eol.cn+ocr,True,上海体大 | 上海海大 | 上海电力,新疆大学 | 上应大 | 中南民族,上工程 | 云南警官 | 云南财大 | 健康医学 | 兰州交大,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,502,52.55,23670,专科,eol.cn+ocr,True,上经贸大 | 东北电力 | 中国戏曲,宁波大学 | 三峡大学 | 上海中医,上海体大 | 上海电力 | 中国民航 | 中国警察 | 云南师大,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,527,66.75,16666,二本,eol.cn+ocr,True,深圳大学 | 郑州大学 | 东大秦岛,云南大学 | 燕山大学 | 上海戏剧,宁波大学 | 三峡大学 | 上海中医 | 上海政法 | 上海音乐,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,552,80.22,10002,二本,eol.cn+ocr,True,山东大学 | 上海外大 | 中国传媒,深圳大学 | 苏州大学 | 兰州大学,郑州大学 | 云南大学 | 燕山大学 | 上海戏剧 | 上海理工,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,577,90.95,4645,一本,eol.cn+ocr,True,,复旦大学 | 同济大学 | 武汉大学,苏州大学 | 兰州大学 | 中南财政 | 中国传媒 | 中国海洋,护理学 | 电子商务 | 口腔医学技术 | 康复治疗学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,587,94.35,2934,双一流,eol.cn+ocr,True,,复旦大学 | 同济大学 | 中山大学,武汉大学 | 四川大学 | 山东大学 | 湖南大学 | 吉林大学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,600,97.68,1250,211,eol.cn+ocr,True,,,复旦大学 | 同济大学 | 武汉大学 | 中山大学 | 天津大学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术,集成电路设计与集成系统 | 人工智能 | 保密管理 | 分子科学与工程,0
上海,综合类,602,98.08,1048,211,eol.cn+ocr,True,,,复旦大学 | 同济大学 | 中山大学 | 天津大学 | 中南大学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术,集成电路设计与集成系统 | 人工智能 | 保密管理 | 分子科学与工程,0
上海,综合类,619,99.82,116,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
上海,综合类,627,99.9,64,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
上海,综合类,652,99.9,64,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
上海,综合类,660,99.9,64,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
云南,物理类,517,0.18,173191,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,542,0.39,172820,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,567,2.88,168830,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,587,9.35,157616,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,592,10.88,154812,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,600,13.67,150140,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,617,19.06,140796,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,619,19.78,139550,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,642,26.98,127090,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,667,34.71,113384,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,692,43.17,99055,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,697,44.6,96563,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
