province,track,schoolName,avgMin3y,yearCount,2023,2024,2025
上海,综合类,上海东海职业技术学院,498,1,498,,
上海,综合类,上海中侨职业技术大学,504,1,504,,
上海,综合类,上海中医药大学,640,1,640,,
上海,综合类,上海交通大学,818,1,818,,
上海,综合类,上海交通大学医学院,827,1,827,,
上海,综合类,上海交通职业技术学院,491,1,491,,
上海,综合类,上海体育大学,630,1,630,,
上海,综合类,上海健康医学院,582,1,582,,
上海,综合类,上海公安学院,503,1,503,,
上海,综合类,上海兴伟学院,505,1,505,,
上海,综合类,上海农林职业技术学院,490,1,490,,
上海,综合类,上海出版印刷高等专科学校,488,1,488,,
上海,综合类,上海南湖职业技术学院,490,1,490,,
上海,综合类,上海商学院,586,1,586,,
上海,综合类,上海城建职业学院,488,1,488,,
上海,综合类,上海外国语大学,674,1,674,,
上海,综合类,上海外国语大学贤达经济人文学院,507,1,507,,
上海,综合类,上海大学,649,1,649,,
上海,综合类,上海对外经贸大学,649,1,649,,
上海,综合类,上海工商外国语职业学院,451,1,451,,
上海,综合类,上海工商职业技术学院,468,1,468,,
上海,综合类,上海工程技术大学,601,1,601,,
上海,综合类,上海工艺美术职业学院,502,1,502,,
上海,综合类,上海师范大学,626,1,626,,
上海,综合类,上海师范大学天华学院,525,1,525,,
上海,综合类,上海应用技术大学,588,1,588,,
上海,综合类,上海建桥学院,509,1,509,,
上海,综合类,上海建设管理职业技术学院,411,1,411,,
上海,综合类,上海思博职业技术学院,489,1,489,,
上海,综合类,上海戏剧学院,626,1,626,,
上海,综合类,上海政法学院,643,1,643,,
上海,综合类,上海旅游高等专科学校,492,1,492,,
上海,综合类,上海杉达学院,520,1,520,,
上海,综合类,上海民航职业技术学院,492,1,492,,
上海,综合类,上海民远职业技术学院,339,1,339,,
上海,综合类,上海济光职业技术学院,497,1,497,,
上海,综合类,上海海事大学,642,1,642,,
上海,综合类,上海海事职业技术学院,221,1,221,,
上海,综合类,上海海关学院,708,1,708,,
上海,综合类,上海海洋大学,620,1,620,,
上海,综合类,上海现代化工职业学院,432,1,432,,
上海,综合类,上海理工大学,646,1,646,,
上海,综合类,上海电力大学,661,1,661,,
上海,综合类,上海电子信息职业技术学院,489,1,489,,
上海,综合类,上海电影艺术职业学院,441,1,441,,
上海,综合类,上海电机学院,587,1,587,,
上海,综合类,上海科创职业技术学院,439,1,439,,
上海,综合类,上海科学技术职业学院,493,1,493,,
上海,综合类,上海科技大学,653,1,653,,
上海,综合类,上海立信会计金融学院,637,1,637,,
上海,综合类,上海立达学院,508,1,508,,
上海,综合类,上海第二工业大学,617,1,617,,
上海,综合类,上海纽约大学,641,1,641,,
上海,综合类,上海行健职业学院,502,1,502,,
上海,综合类,上海视觉艺术学院,560,1,560,,
上海,综合类,上海财经大学,731,1,731,,
上海,综合类,上海邦德职业技术学院,347,1,347,,
上海,综合类,上海闵行职业技术学院,425,1,425,,
上海,综合类,上海震旦职业学院,454,1,454,,
上海,综合类,上海音乐学院,575,1,575,,
上海,综合类,东华大学,681,1,681,,
上海,综合类,华东师范大学,793,1,793,,
上海,综合类,华东政法大学,708,1,708,,
上海,综合类,华东理工大学,696,1,696,,
上海,综合类,同济大学,748,1,748,,
上海,综合类,复旦大学,815,1,815,,
上海,综合类,复旦大学上海医学院,816,1,816,,
上海,综合类,海军军医大学,714,1,714,,
云南,历史类,丽江师范学院,401,1,401,,
云南,历史类,丽江文化旅游学院,481,1,481,,
云南,历史类,云南三鑫职业技术学院,226,1,226,,
云南,历史类,云南中医药大学,554,1,554,,
云南,历史类,云南交通职业技术大学,329,1,329,,
云南,历史类,云南农业大学,527,1,527,,
云南,历史类,云南农业职业技术学院,282,1,282,,
云南,历史类,云南医药健康职业学院,389,1,389,,
云南,历史类,云南司法警官职业学院,363,1,363,,
云南,历史类,云南商务职业学院,218,1,218,,
云南,历史类,云南国土资源职业学院,358,1,358,,
云南,历史类,云南城市建设职业学院,288,1,288,,
云南,历史类,云南大学,591,1,591,,
云南,历史类,云南工商学院,430,1,430,,
云南,历史类,云南工程职业学院,313,1,313,,
云南,历史类,云南师范大学,556,1,556,,
云南,历史类,云南新兴职业学院,293,1,293,,
云南,历史类,云南机电职业技术学院,313,1,313,,
云南,历史类,云南林业职业技术学院,373,1,373,,
云南,历史类,云南民族大学,541,1,541,,
云南,历史类,云南水利水电职业学院,266,1,266,,
云南,历史类,云南特殊教育职业学院,343,1,343,,
云南,历史类,云南理工职业学院,330,1,330,,
云南,历史类,云南经济管理学院,482,1,482,,
云南,历史类,云南艺术学院,493,1,493,,
云南,历史类,云南警官学院,607,1,607,,
云南,历史类,云南财经大学,529,1,529,,
云南,历史类,云南财经职业学院,330,1,330,,
云南,历史类,保山中医药高等专科学校,342,1,342,,
云南,历史类,保山学院,479,1,479,,
云南,历史类,大理大学,528,1,528,,
云南,历史类,大理护理职业学院,360,1,360,,
云南,历史类,德宏职业学院,405,1,405,,
云南,历史类,文山学院,507,1,507,,
云南,历史类,昆明传媒学院,441,1,441,,
云南,历史类,昆明冶金职业大学,334,1,334,,
云南,历史类,昆明医科大学海源学院,488,1,488,,
云南,历史类,昆明卫生职业学院,390,1,390,,
云南,历史类,昆明城市学院,482,1,482,,
云南,历史类,昆明学院,529,1,529,,
云南,历史类,昆明文理学院,483,1,483,,
云南,历史类,昆明理工大学,565,1,565,,
云南,历史类,昆明理工大学津桥学院,483,1,483,,
云南,历史类,昆明科技职业大学,274,1,274,,
云南,历史类,昆明艺术职业学院,223,1,223,,
云南,历史类,昭通卫生职业学院,245,1,245,,
云南,历史类,昭通学院,477,1,477,,
云南,历史类,普洱学院,501,1,501,,
云南,历史类,曲靖健康医学院,390,1,390,,
云南,历史类,曲靖师范学院,519,1,519,,
云南,历史类,楚雄医药高等专科学校,410,1,410,,
云南,历史类,楚雄师范学院,503,1,503,,
云南,历史类,滇池学院,482,1,482,,
云南,历史类,滇西应用技术大学,505,1,505,,
云南,历史类,滇西科技师范学院,486,1,486,,
云南,历史类,玉溪农业职业技术学院,370,1,370,,
云南,历史类,玉溪师范学院,508,1,508,,
云南,历史类,红河学院,501,1,501,,
云南,历史类,西南林业大学,526,1,526,,
云南,历史类,西双版纳职业技术学院,368,1,368,,
云南,物理类,丽江师范学院,387,1,387,,
云南,物理类,丽江文化旅游学院,486,1,486,,
云南,物理类,云南三鑫职业技术学院,327,1,327,,
云南,物理类,云南中医药大学,541,1,541,,
云南,物理类,云南交通职业技术大学,350,1,350,,
云南,物理类,云南农业大学,538,1,538,,
云南,物理类,云南农业职业技术学院,350,1,350,,
云南,物理类,云南医药健康职业学院,416,1,416,,
云南,物理类,云南司法警官职业学院,368,1,368,,
云南,物理类,云南商务职业学院,272,1,272,,
云南,物理类,云南国土资源职业学院,398,1,398,,
云南,物理类,云南城市建设职业学院,296,1,296,,
云南,物理类,云南大学,620,1,620,,
云南,物理类,云南工商学院,412,1,412,,
云南,物理类,云南工程职业学院,333,1,333,,
云南,物理类,云南师范大学,566,1,566,,
云南,物理类,云南新兴职业学院,314,1,314,,
云南,物理类,云南机电职业技术学院,365,1,365,,
云南,物理类,云南林业职业技术学院,421,1,421,,
云南,物理类,云南民族大学,534,1,534,,
云南,物理类,云南水利水电职业学院,308,1,308,,
云南,物理类,云南特殊教育职业学院,385,1,385,,
云南,物理类,云南理工职业学院,333,1,333,,
云南,物理类,云南经济管理学院,489,1,489,,
云南,物理类,云南警官学院,551,1,551,,
云南,物理类,云南财经大学,540,1,540,,
云南,物理类,云南财经职业学院,383,1,383,,
云南,物理类,保山中医药高等专科学校,350,1,350,,
云南,物理类,保山学院,463,1,463,,
云南,物理类,大理大学,556,1,556,,
云南,物理类,大理护理职业学院,357,1,357,,
云南,物理类,德宏职业学院,430,1,430,,
云南,物理类,文山学院,483,1,483,,
云南,物理类,昆明传媒学院,444,1,444,,
云南,物理类,昆明冶金职业大学,384,1,384,,
云南,物理类,昆明医科大学,605,1,605,,
云南,物理类,昆明医科大学海源学院,532,1,532,,
云南,物理类,昆明卫生职业学院,428,1,428,,
云南,物理类,昆明城市学院,482,1,482,,
云南,物理类,昆明学院,551,1,551,,
云南,物理类,昆明文理学院,482,1,482,,
云南,物理类,昆明理工大学,587,1,587,,
云南,物理类,昆明理工大学津桥学院,490,1,490,,
云南,物理类,昆明科技职业大学,323,1,323,,
云南,物理类,昆明铁道职业技术学院,388,1,388,,
