province,year,track,schoolName,minScore
上海,2023,综合类,上海东海职业技术学院,182
上海,2023,综合类,上海中侨职业技术大学,195
上海,2023,综合类,上海中医药大学,513
上海,2023,综合类,上海交通大学,580
上海,2023,综合类,上海交通大学医学院,663
上海,2023,综合类,上海交通职业技术学院,230
上海,2023,综合类,上海体育大学,489
上海,2023,综合类,上海健康医学院,258
上海,2023,综合类,上海公安学院,443
上海,2023,综合类,上海兴伟学院,505
上海,2023,综合类,上海农林职业技术学院,233
上海,2023,综合类,上海出版印刷高等专科学校,192
上海,2023,综合类,上海南湖职业技术学院,111
上海,2023,综合类,上海商学院,246
上海,2023,综合类,上海城建职业学院,252
上海,2023,综合类,上海外国语大学,557
上海,2023,综合类,上海外国语大学贤达经济人文学院,405
上海,2023,综合类,上海大学,538
上海,2023,综合类,上海对外经贸大学,518
上海,2023,综合类,上海工商外国语职业学院,100
上海,2023,综合类,上海工商职业技术学院,107
上海,2023,综合类,上海工程技术大学,248
上海,2023,综合类,上海工艺美术职业学院,238
上海,2023,综合类,上海师范大学,502
上海,2023,综合类,上海师范大学天华学院,438
上海,2023,综合类,上海应用技术大学,456
上海,2023,综合类,上海建桥学院,225
上海,2023,综合类,上海建设管理职业技术学院,104
上海,2023,综合类,上海思博职业技术学院,101
上海,2023,综合类,上海戏剧学院,526
上海,2023,综合类,上海政法学院,497
上海,2023,综合类,上海旅游高等专科学校,104
上海,2023,综合类,上海杉达学院,229
上海,2023,综合类,上海民航职业技术学院,208
上海,2023,综合类,上海民远职业技术学院,111
上海,2023,综合类,上海济光职业技术学院,103
上海,2023,综合类,上海海事大学,499
上海,2023,综合类,上海海事职业技术学院,221
上海,2023,综合类,上海海关学院,513
上海,2023,综合类,上海海洋大学,486
上海,2023,综合类,上海现代化工职业学院,112
上海,2023,综合类,上海理工大学,509
上海,2023,综合类,上海电力大学,472
上海,2023,综合类,上海电子信息职业技术学院,179
上海,2023,综合类,上海电影艺术职业学院,176
上海,2023,综合类,上海电机学院,441
上海,2023,综合类,上海科创职业技术学院,207
上海,2023,综合类,上海科学技术职业学院,193
上海,2023,综合类,上海科技大学,653
上海,2023,综合类,上海立信会计金融学院,245
上海,2023,综合类,上海立达学院,387
上海,2023,综合类,上海第二工业大学,254
上海,2023,综合类,上海纽约大学,641
上海,2023,综合类,上海行健职业学院,187
上海,2023,综合类,上海视觉艺术学院,439
上海,2023,综合类,上海财经大学,566
上海,2023,综合类,上海邦德职业技术学院,116
上海,2023,综合类,上海闵行职业技术学院,122
上海,2023,综合类,上海震旦职业学院,103
上海,2023,综合类,上海音乐学院,507
上海,2023,综合类,东华大学,541
上海,2023,综合类,华东师范大学,569
上海,2023,综合类,华东政法大学,527
上海,2023,综合类,华东理工大学,545
上海,2023,综合类,同济大学,571
上海,2023,综合类,复旦大学,580
上海,2023,综合类,复旦大学上海医学院,671
上海,2023,综合类,海军军医大学,534
云南,2023,历史类,丽江师范学院,302
云南,2023,历史类,丽江文化旅游学院,218
云南,2023,历史类,云南三鑫职业技术学院,226
云南,2023,历史类,云南中医药大学,493
云南,2023,历史类,云南交通职业技术大学,311
云南,2023,历史类,云南农业大学,458
云南,2023,历史类,云南农业职业技术学院,207
云南,2023,历史类,云南医药健康职业学院,228
云南,2023,历史类,云南司法警官职业学院,363
云南,2023,历史类,云南商务职业学院,218
云南,2023,历史类,云南国土资源职业学院,233
云南,2023,历史类,云南城市建设职业学院,226
云南,2023,历史类,云南大学,539
云南,2023,历史类,云南工商学院,210
云南,2023,历史类,云南工程职业学院,268
云南,2023,历史类,云南师范大学,476
云南,2023,历史类,云南新兴职业学院,222
云南,2023,历史类,云南机电职业技术学院,286
云南,2023,历史类,云南林业职业技术学院,256
云南,2023,历史类,云南民族大学,431
云南,2023,历史类,云南水利水电职业学院,266
云南,2023,历史类,云南特殊教育职业学院,343
云南,2023,历史类,云南理工职业学院,214
云南,2023,历史类,云南经济管理学院,215
云南,2023,历史类,云南艺术学院,455
云南,2023,历史类,云南警官学院,475
云南,2023,历史类,云南财经大学,457
云南,2023,历史类,云南财经职业学院,317
云南,2023,历史类,保山中医药高等专科学校,342
云南,2023,历史类,保山学院,469
云南,2023,历史类,大理大学,468
云南,2023,历史类,大理护理职业学院,360
云南,2023,历史类,德宏职业学院,296
云南,2023,历史类,文山学院,397
云南,2023,历史类,昆明传媒学院,437
云南,2023,历史类,昆明冶金职业大学,293
云南,2023,历史类,昆明医科大学海源学院,442
云南,2023,历史类,昆明卫生职业学院,306
云南,2023,历史类,昆明城市学院,444
云南,2023,历史类,昆明学院,463
云南,2023,历史类,昆明文理学院,429
云南,2023,历史类,昆明理工大学,498
云南,2023,历史类,昆明理工大学津桥学院,415
云南,2023,历史类,昆明科技职业大学,215
云南,2023,历史类,昆明艺术职业学院,223
云南,2023,历史类,昭通卫生职业学院,245
云南,2023,历史类,昭通学院,469
云南,2023,历史类,普洱学院,461
云南,2023,历史类,曲靖健康医学院,315
云南,2023,历史类,曲靖师范学院,460
云南,2023,历史类,楚雄医药高等专科学校,305
云南,2023,历史类,楚雄师范学院,463
云南,2023,历史类,滇池学院,415
云南,2023,历史类,滇西应用技术大学,464
云南,2023,历史类,滇西科技师范学院,465
云南,2023,历史类,玉溪农业职业技术学院,240
云南,2023,历史类,玉溪师范学院,473
云南,2023,历史类,红河学院,463
云南,2023,历史类,西南林业大学,479
云南,2023,历史类,西双版纳职业技术学院,279
云南,2023,物理类,丽江师范学院,319
云南,2023,物理类,丽江文化旅游学院,208
云南,2023,物理类,云南三鑫职业技术学院,327
云南,2023,物理类,云南中医药大学,494
云南,2023,物理类,云南交通职业技术大学,350
云南,2023,物理类,云南农业大学,455
云南,2023,物理类,云南农业职业技术学院,253
云南,2023,物理类,云南医药健康职业学院,312
云南,2023,物理类,云南司法警官职业学院,368
云南,2023,物理类,云南商务职业学院,240
云南,2023,物理类,云南国土资源职业学院,312
云南,2023,物理类,云南城市建设职业学院,207
云南,2023,物理类,云南大学,496
云南,2023,物理类,云南工商学院,203
云南,2023,物理类,云南工程职业学院,227
云南,2023,物理类,云南师范大学,491
云南,2023,物理类,云南新兴职业学院,247
云南,2023,物理类,云南机电职业技术学院,359
云南,2023,物理类,云南林业职业技术学院,341
云南,2023,物理类,云南民族大学,464
云南,2023,物理类,云南水利水电职业学院,308
